date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:26	349/349	---MCZ	200	added ('OK')	text/plain	date:Sun,%2024%20Mar%202024%2007:36:26%20GMT	https://bwc-network.com/robots.txt		(from )
08:36:27	67626/67626	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:36:27%20GMT	https://bwc-network.com/	C:/Users/PC/Documents/html/bwc2/bwc-network.com/index.html	(from )
08:36:27	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2024%20Mar%202024%2007:36:27%20GMT	https://bwc-network.com/xmlrpc.php	C:/Users/PC/Documents/html/bwc2/bwc-network.com/xmlrpc.php	(from https://bwc-network.com/)
08:36:27	12302/12302	---MCZ	200	added ('OK')	application/javascript	etag:W/12493-1684460897560.9631	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/Users/PC/Documents/html/bwc2/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://bwc-network.com/)
08:36:28	38/38	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:36:28%20GMT	https://bwc-network.com/remote-login.php?wpcom_remote_login=validate	C:/Users/PC/Documents/html/bwc2/bwc-network.com/remote-login4f98.html	(from https://bwc-network.com/)
08:36:28	113087/113087	---MCZ	200	added ('OK')	text/css	etag:W/113151-1710352049404.8013	https://s0.wp.com/wp-content/plugins/gutenberg-core/v17.9.0/build/block-library/style.css?m=1710352031i&cssminify=yes	C:/Users/PC/Documents/html/bwc2/s0.wp.com/wp-content/plugins/gutenberg-core/v17.9.0/build/block-library/style3209.css	(from https://bwc-network.com/)
08:36:28	335465/335465	---MCZ	200	added ('OK')	text/css	etag:W/335533-1705430317813.3672	https://widgets.wp.com/verbum-block-editor/block-editor.css?ver=1705430309	C:/Users/PC/Documents/html/bwc2/widgets.wp.com/verbum-block-editor/block-editor0a16.css	(from https://bwc-network.com/)
08:36:28	1483/1483	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2024%20Mar%202024%2007:36:29%20GMT	https://bwc-network.com/feed/	C:/Users/PC/Documents/html/bwc2/bwc-network.com/feed/index.html	(from https://bwc-network.com/)
08:36:28	5168/5168	---MCZ	200	added ('OK')	text/css	etag:W/8044-1684460935908.9634	https://s1.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035i&cssminify=yes	C:/Users/PC/Documents/html/bwc2/s1.wp.com/wp-content/mu-plugins/global-print/global-printbcec.css	(from https://bwc-network.com/)
08:36:29	853/853	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2292627e8597531973b2070bdb659f1b78%22	https://bwc-network.com/comments/feed/	C:/Users/PC/Documents/html/bwc2/bwc-network.com/comments/feed/index.html	(from https://bwc-network.com/)
08:36:29	369/369	---M--	200	added ('OK')	text/css	etag:%226466e652-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/Users/PC/Documents/html/bwc2/s1.wp.com/_static/indexd02a.html	(from https://bwc-network.com/)
08:36:29	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684460922208.3726	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/Users/PC/Documents/html/bwc2/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://bwc-network.com/)
08:36:29	1375/1375	---MCZ	200	added ('OK')	application/xml	date:Sun,%2024%20Mar%202024%2007:36:30%20GMT	https://bwc-network.com/osd.xml	C:/Users/PC/Documents/html/bwc2/bwc-network.com/osd.xml	(from https://bwc-network.com/)
08:36:29	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%226466e640-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	C:/Users/PC/Documents/html/bwc2/s1.wp.com/_static/indexba1f.html	(from https://bwc-network.com/)
08:36:30	152374/152374	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2017:38:32%20GMT	https://bwcdatabase.files.wordpress.com/2024/03/pngtree-red-and-blue-glowing-smoke-background-image_397581.jpg	C:/Users/PC/Documents/html/bwc2/bwcdatabase.files.wordpress.com/2024/03/pngtree-red-and-blue-glowing-smoke-background-image_397581.jpg	(from https://bwc-network.com/)
08:36:30	1062/1062	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2017:34:47%20GMT	https://bwc-network.com/wp-content/uploads/2024/03/wp-1710264862071.jpg?w=32	C:/Users/PC/Documents/html/bwc2/bwc-network.com/wp-content/uploads/2024/03/wp-171026486207176ca.jpg	(from https://bwc-network.com/)
08:36:30	11421/11421	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2017:34:47%20GMT	https://bwc-network.com/wp-content/uploads/2024/03/wp-1710264862071.jpg?w=192	C:/Users/PC/Documents/html/bwc2/bwc-network.com/wp-content/uploads/2024/03/wp-17102648620719939.jpg	(from https://bwc-network.com/)
08:36:31	10561/10561	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2017:34:47%20GMT	https://bwc-network.com/wp-content/uploads/2024/03/wp-1710264862071.jpg?w=180	C:/Users/PC/Documents/html/bwc2/bwc-network.com/wp-content/uploads/2024/03/wp-1710264862071ad83.jpg	(from https://bwc-network.com/)
08:36:31	48917/48917	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Feb%202024%2019:03:42%20GMT	https://bwc-network.com/wp-content/uploads/2022/02/cropped-bwc-logo-2.png	C:/Users/PC/Documents/html/bwc2/bwc-network.com/wp-content/uploads/2022/02/cropped-bwc-logo-2.png	(from https://bwc-network.com/)
08:36:32	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Mar%202024%2007:36:32%20GMT	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202412972dc1153ba1a0ecc4b0ab4d4ad33775d6ace2779a421666b6a24c2cafc59b8a	C:/Users/PC/Documents/html/bwc2/0.gravatar.com/js/hovercards/hovercards.min.d578f.delayed	(from https://bwc-network.com/)
08:36:33	67648/67648	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:36:32%20GMT	https://bwc-network.com/demande-de-contenus/	C:/Users/PC/Documents/html/bwc2/bwc-network.com/demande-de-contenus/index.html	(from https://bwc-network.com/)
08:36:33	67910/67910	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:36:33%20GMT	https://bwc-network.com/pages-diverses/	C:/Users/PC/Documents/html/bwc2/bwc-network.com/pages-diverses/index.html	(from https://bwc-network.com/)
08:36:33	79560/79560	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:36:32%20GMT	https://bwc-network.com/contactez-nous/	C:/Users/PC/Documents/html/bwc2/bwc-network.com/contactez-nous/index.html	(from https://bwc-network.com/)
08:36:34	13070/13070	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265f845bd-330e%22	https://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202412972dc1153ba1a0ecc4b0ab4d4ad33775d6ace2779a421666b6a24c2cafc59b8a	C:/Users/PC/Documents/html/bwc2/0.gravatar.com/js/hovercards/hovercards.min578f.js	(from https://bwc-network.com/)
